datetime,sym,bid_price,bid_size,ask_price,ask_size
2025.05.23D08:03:00.721266196,IBM,257.9,1,259.89,1
2025.05.23D08:03:00.731269698,IBM,258,1,259.89,1
2025.05.23D08:03:01.386496878,IBM,258,1,259.9,1
2025.05.23D08:03:01.438841286,IBM,258,1,259.8,1
2025.05.23D08:03:01.564980972,IBM,258.1,1,259.8,1
2025.05.23D08:03:02.431129498,IBM,258.1,1,263.77,3
2025.05.23D08:03:02.431144488,IBM,258.1,1,260,1
2025.05.23D08:03:03.940100702,IBM,258.1,1,259.9,1
2025.05.23D08:03:04.802064039,IBM,258.1,1,259.8,1
2025.05.23D08:03:04.820738529,IBM,258.1,1,259.5,1
2025.05.23D08:03:05.442982344,IBM,258.1,1,259.4,1
2025.05.23D08:03:11.547770505,IBM,258.1,1,263.77,3
2025.05.23D08:03:11.547785626,IBM,258.1,1,259.6,1
2025.05.23D08:03:11.557187934,IBM,258.1,1,263.77,3
2025.05.23D08:03:11.557197944,IBM,258.1,1,259.9,1
2025.05.23D08:03:11.613366489,IBM,258.1,1,259.8,1
2025.05.23D08:03:12.851303417,IBM,255,2,259.8,1
2025.05.23D08:03:12.851313405,IBM,258,1,259.8,1
2025.05.23D08:03:13.006356963,IBM,258.1,1,259.8,1
2025.05.23D08:03:14.466577132,IBM,258.1,1,259.5,1
2025.05.23D08:03:15.431314926,IBM,258.1,1,259.4,1
2025.05.23D08:03:15.873986916,IBM,255,2,259.4,1
2025.05.23D08:03:15.873996948,IBM,257.6,1,259.4,1
2025.05.23D08:03:15.874212496,IBM,255,2,259.4,1
2025.05.23D08:03:15.874227569,IBM,257.4,1,259.4,1
2025.05.23D08:03:15.881349501,IBM,257.4,1,263.77,3
2025.05.23D08:03:15.881359513,IBM,257.4,1,259.5,1
2025.05.23D08:03:15.912804246,IBM,257.4,1,263.77,3
2025.05.23D08:03:15.912819215,IBM,257.4,1,259.7,1
2025.05.23D08:03:15.926451627,IBM,257.5,1,259.7,1
2025.05.23D08:03:15.955796368,IBM,257.7,1,259.7,1
2025.05.23D08:03:16.012821868,IBM,257.8,1,259.7,1
2025.05.23D08:03:16.036623408,IBM,258,1,259.7,1
2025.05.23D08:03:16.307226572,IBM,258.1,1,259.7,1
2025.05.23D08:03:17.934002657,IBM,258.1,1,263.77,3
2025.05.23D08:03:17.934012668,IBM,258.1,1,259.8,1
2025.05.23D08:03:17.937696366,IBM,258.1,1,263.77,3
2025.05.23D08:03:17.937711441,IBM,258.1,1,260,1
2025.05.23D08:03:17.995503754,IBM,258.1,1,263.77,3
2025.05.23D08:03:17.995513815,IBM,258.1,1,260.2,1
